ID;Sourceid;Titre;Type;Issn;SJR;Classement;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;24668;"Journal of the American Mathematical Society";journal;"10886834, 08940347";8,581;Q1;87;20;75;1097;374;75;5,64;54,85;United States;Northern America;"American Mathematical Society";"1988-2020";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
2;24254;"IEEE Transactions on Pattern Analysis and Machine Intelligence";journal;"01628828";7,536;Q1;344;218;626;11845;15167;601;26,69;54,33;United States;Northern America;"IEEE Computer Society";"1978-2020";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)"
3;4700152228;"Molecular Systems Biology";journal;"17444292";7,338;Q1;140;51;178;3218;1458;154;8,84;63,10;United States;Northern America;"Wiley-Blackwell";"2005-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
4;25820;"Communications on Pure and Applied Mathematics";journal;"00103640, 10970312";4,271;Q1;95;65;164;2516;570;161;2,96;38,71;United States;Northern America;"Wiley-Liss Inc.";"1948-2020";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
5;26430;"SIAM Review";journal;"10957200, 00361445";3,910;Q1;110;30;119;1704;865;75;14,69;56,80;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1969-1972, 1974-1978, 1983-2019";"Applied Mathematics (Q1); Computational Mathematics (Q1); Theoretical Computer Science (Q1)"
6;26447;"Journal of the European Mathematical Society";journal;"14359855, 14359863";3,639;Q1;46;86;246;3287;527;245;2,18;38,22;Switzerland;Western Europe;"European Mathematical Society Publishing House";"2002-2020";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
7;23200;"Annales de l'Institut Henri Poincare. Annales: Analyse Non Lineaire/Nonlinear Analysis";journal;"02941449";3,540;Q1;63;71;206;2371;531;201;2,04;33,39;Netherlands;Western Europe;"Elsevier Masson SAS";"1984-2020";"Analysis (Q1); Applied Mathematics (Q1); Mathematical Physics (Q1)"
8;24671;"Memoirs of the American Mathematical Society";journal;"00659266";3,520;Q1;58;29;120;1644;253;117;2,19;56,69;United States;Northern America;"American Mathematical Society";"1996-2006, 2009-2020";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
9;28973;"Journal of Econometrics";journal;"03044076";3,313;Q1;148;182;407;7892;1106;397;1,92;43,36;Netherlands;Western Europe;"Elsevier BV";"1973-2020";"Applied Mathematics (Q1); Economics and Econometrics (Q1); History and Philosophy of Science (Q1)"
10;18050;"International Journal of Robotics Research";journal;"02783649, 17413176";3,212;Q1;155;102;258;5488;2272;236;8,27;53,80;United States;Northern America;"SAGE Publications Inc.";"1982-2020";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1)"
11;24242;"IEEE Transactions on Fuzzy Systems";journal;"10636706";3,134;Q1;181;209;609;8199;6214;587;10,69;39,23;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2020";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1)"
12;24598;"Mathematical Models and Methods in Applied Sciences";journal;"02182025";3,114;Q1;74;74;238;4240;865;238;3,27;57,30;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1996-2020";"Applied Mathematics (Q1); Modeling and Simulation (Q1)"
13;19900191610;"Bayesian Analysis";journal;"19316690, 19360975";2,843;Q1;48;47;142;1888;333;135;2,44;40,17;United States;Northern America;"Carnegie Mellon University";"2006-2020";"Applied Mathematics (Q1); Statistics and Probability (Q1)"
14;19200156958;"Applied and Computational Mathematics";journal;"16833511";2,822;Q1;14;2;2;73;15;2;0,00;36,50;Azerbaijan;Eastern Europe;"Azerbaijan National Academy of Sciences";"2008-2016, 2019";"Applied Mathematics (Q1); Computational Mathematics (Q1)"
15;15049;"Biometrika";journal;"14643510, 00063444";2,800;Q1;111;53;203;1658;387;197;1,73;31,28;United Kingdom;Western Europe;"Oxford University Press";"1908-1913, 1945, 1947-1951, 1965-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
16;26421;"SIAM Journal on Numerical Analysis";journal;"00361429, 10957170";2,780;Q1;118;114;424;4249;1271;422;3,00;37,27;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1969-1972, 1974-1978, 1983-1987, 1990-2020";"Applied Mathematics (Q1); Computational Mathematics (Q1); Numerical Analysis (Q1)"
17;21100242249;"Analysis and PDE";journal;"1948206X, 21575045";2,723;Q1;24;34;203;1310;360;203;1,64;38,53;United States;Northern America;"Mathematical Sciences Publishers";"2011-2020";"Analysis (Q1); Applied Mathematics (Q1); Numerical Analysis (Q1)"
18;25309;"Calculus of Variations and Partial Differential Equations";journal;"14320835, 09442669";2,672;Q1;62;209;499;6772;1030;499;1,82;32,40;Germany;Western Europe;"Springer New York";"1993-2020";"Analysis (Q1); Applied Mathematics (Q1)"
19;23796;"Journal für die Reine und Angewandte Mathematik";journal;"00754102, 14355345";2,659;Q1;63;130;285;4088;339;232;1,55;31,45;Germany;Western Europe;"Walter de Gruyter GmbH";"1826-1921, 1923-1943, 1949-2020";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
20;14061;"Psychometrika";journal;"00333123, 18600980";2,644;Q1;72;61;168;2437;491;157;2,39;39,95;United States;Northern America;"Springer New York";"1936-2020";"Applied Mathematics (Q1); Psychology (miscellaneous) (Q1)"
21;18933;"IEEE Transactions on Wireless Communications";journal;"15361276";2,623;Q1;200;391;1833;15193;15539;1829;8,52;38,86;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2020";"Applied Mathematics (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
22;23795;"Journal des Mathematiques Pures et Appliquees";journal;"00217824";2,601;Q1;59;142;221;4935;524;220;2,06;34,75;Netherlands;Western Europe;"Elsevier Masson SAS";"1997-2020";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
23;12996;"IEEE Signal Processing Magazine";journal;"10535888";2,479;Q1;172;96;279;2485;2404;223;11,54;25,89;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1991-2020";"Applied Mathematics (Q1); Electrical and Electronic Engineering (Q1); Music (Q1); Signal Processing (Q1)"
24;18173;"Mathematical Finance";journal;"09601627, 14679965";2,338;Q1;72;40;104;1489;291;104;2,36;37,23;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1991-2020";"Accounting (Q1); Applied Mathematics (Q1); Economics and Econometrics (Q1); Finance (Q1); Social Sciences (miscellaneous) (Q1)"
25;23874;"Journal of Differential Equations";journal;"00220396, 10902732";2,283;Q1;110;521;1428;16619;3592;1412;2,44;31,90;United States;Northern America;"Academic Press Inc.";"1965-2020";"Analysis (Q1); Applied Mathematics (Q1)"
26;5100155103;"Journal of Informetrics";journal;"17511577";2,079;Q1;65;81;302;3589;1530;250;5,55;44,31;Netherlands;Western Europe;"Elsevier BV";"2007-2020";"Applied Mathematics (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)"
27;21100875801;"npj Systems Biology and Applications";journal;"20567189";2,043;Q1;14;43;99;2071;442;97;4,14;48,16;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2020";"Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computer Science Applications (Q1); Drug Discovery (Q1); Modeling and Simulation (Q1)"
28;24689;"Transactions of the American Mathematical Society";journal;"00029947, 10886850";2,022;Q1;83;578;915;18329;1364;907;1,42;31,71;United States;Northern America;"American Mathematical Society";"1900-2020";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
29;15568;"Journal of Mathematical Psychology";journal;"10960880, 00222496";1,983;Q1;64;59;188;2726;591;180;2,81;46,20;United States;Northern America;"Academic Press Inc.";"1964-2020";"Applied Mathematics (Q1); Psychology (miscellaneous) (Q1)"
30;28470;"Foundations of Computational Mathematics";journal;"16153383, 16153375";1,955;Q1;50;62;130;2667;423;128;2,82;43,02;Germany;Western Europe;"Springer New York";"2001-2020";"Analysis (Q1); Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1)"
31;13191;"Journal of Computational Physics";journal;"10902716, 00219991";1,936;Q1;229;645;2106;30270;7767;2085;3,35;46,93;United States;Northern America;"Academic Press Inc.";"1966-2020";"Applied Mathematics (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Modeling and Simulation (Q1); Numerical Analysis (Q1); Physics and Astronomy (miscellaneous) (Q1)"
32;28536;"Numerische Mathematik";journal;"09453245, 0029599X";1,934;Q1;79;88;279;3214;657;279;2,24;36,52;Germany;Western Europe;"Springer New York";"1959-2020";"Applied Mathematics (Q1); Computational Mathematics (Q1)"
33;26425;"SIAM Journal of Scientific Computing";journal;"10957197, 10648275";1,928;Q1;128;255;693;10428;1956;692;2,34;40,89;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1996-2019";"Applied Mathematics (Q1); Computational Mathematics (Q1)"
34;13853;"Reliability Engineering and System Safety";journal;"18790836, 09518320";1,925;Q1;133;376;808;17968;5263;788;6,47;47,79;Netherlands;Western Europe;"Elsevier Ltd.";"1983, 1988-2020";"Applied Mathematics (Q1); Industrial and Manufacturing Engineering (Q1); Safety, Risk, Reliability and Quality (Q1)"
35;4000151612;"Applied Mathematics Research eXpress";journal;"16871197, 16871200";1,919;Q1;17;0;16;0;32;16;1,17;0,00;United Kingdom;Western Europe;"Oxford University Press";"2004-2017";"Analysis (Q1); Applied Mathematics (Q1); Computational Mathematics (Q1)"
36;18093;"Archives of Computational Methods in Engineering";journal;"18861784, 11343060";1,908;Q1;57;121;103;14277;838;98;7,26;117,99;Netherlands;Western Europe;"Springer Netherlands";"1994-2020";"Applied Mathematics (Q1); Computer Science Applications (Q1)"
37;28861;"Biometrics";journal;"0006341X, 15410420";1,894;Q1;124;196;441;5233;821;430;1,81;26,70;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-1951, 1965-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)"
38;144889;"Journal of Intelligent Transportation Systems";journal;"15472450";1,891;Q1;42;68;127;2527;566;121;4,47;37,16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004-2020";"Aerospace Engineering (Q1); Applied Mathematics (Q1); Automotive Engineering (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems (Q1); Software (Q1)"
39;19900193539;"Fractional Calculus and Applied Analysis";journal;"13110454, 13142224";1,858;Q1;42;76;243;2175;830;232;3,46;28,62;Germany;Western Europe;"Walter de Gruyter GmbH";"2011-2020";"Analysis (Q1); Applied Mathematics (Q1)"
40;13249;"Nonlinear Analysis, Theory, Methods and Applications";journal;"0362546X";1,848;Q1;114;247;673;7562;1192;656;1,88;30,62;United Kingdom;Western Europe;"Elsevier Ltd.";"1976-2020";"Analysis (Q1); Applied Mathematics (Q1)"
41;21100857212;"Current Opinion in Systems Biology";journal;"24523100";1,809;Q1;12;76;193;4997;484;171;2,83;65,75;United Kingdom;Western Europe;"Elsevier Ltd.";"2017-2019";"Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computer Science Applications (Q1); Drug Discovery (Q1); Modeling and Simulation (Q1)"
42;13563;"Educational and Psychological Measurement";journal;"00131644, 15523888";1,798;Q1;88;69;153;2671;403;150;2,26;38,71;United States;Northern America;"SAGE Publications Inc.";"1941-2020";"Applied Mathematics (Q1); Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Psychology (miscellaneous) (Q1)"
43;26418;"SIAM Journal on Mathematical Analysis";journal;"00361410, 10957154";1,787;Q1;80;145;506;4921;844;503;1,54;33,94;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1976, 1993, 1996-2019";"Analysis (Q1); Applied Mathematics (Q1); Computational Mathematics (Q1)"
44;25812;"Communications in Partial Differential Equations";journal;"03605302, 15324133";1,783;Q1;74;57;196;1509;280;195;1,25;26,47;United States;Northern America;"Taylor and Francis Ltd.";"1971, 1976-2020";"Analysis (Q1); Applied Mathematics (Q1)"
45;23152;"IMA Journal of Numerical Analysis";journal;"14643642, 02724979";1,775;Q1;59;56;205;1848;401;199;2,05;33,00;United Kingdom;Western Europe;"Oxford University Press";"1981-2019";"Applied Mathematics (Q1); Computational Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
46;25092;"Mathematics of Computation";journal;"00255718, 10886842";1,694;Q1;91;59;414;1703;843;412;1,91;28,86;United States;Northern America;"American Mathematical Society";"1864, 1926, 1943-2019";"Algebra and Number Theory (Q1); Applied Mathematics (Q1); Computational Mathematics (Q1)"
47;74973;"Communications in Contemporary Mathematics";journal;"17936683, 02191997";1,675;Q1;39;156;233;3258;334;228;1,35;20,88;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1999-2020";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
48;17393;"IEEE Transactions on Vehicular Technology";journal;"00189545, 19399359";1,634;Q1;160;999;2954;34911;20106;2941;6,66;34,95;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1967-2020";"Aerospace Engineering (Q1); Applied Mathematics (Q1); Automotive Engineering (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)"
49;25956;"ESAIM: Mathematical Modelling and Numerical Analysis";journal;"0764583X, 12903841";1,630;Q1;63;61;253;2297;448;252;1,38;37,66;France;Western Europe;"EDP Sciences";"1996-2019";"Analysis (Q1); Applied Mathematics (Q1); Computational Mathematics (Q1); Modeling and Simulation (Q1); Numerical Analysis (Q1)"
50;17929;"BMC Bioinformatics";journal;"14712105";1,626;Q1;196;763;1669;29264;5615;1620;3,52;38,35;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Applied Mathematics (Q1); Biochemistry (Q1); Computer Science Applications (Q1); Molecular Biology (Q2); Structural Biology (Q2)"
51;28457;"Computational Mechanics";journal;"14320924, 01787675";1,612;Q1;97;167;360;8552;1274;355;3,49;51,21;Germany;Western Europe;"Springer Verlag";"1986-2020";"Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Mechanics (Q1); Computational Theory and Mathematics (Q1); Mechanical Engineering (Q1); Ocean Engineering (Q1)"
52;12336;"International Journal for Numerical Methods in Engineering";journal;"00295981, 10970207";1,585;Q1;155;228;716;11026;2453;704;3,32;48,36;United States;Northern America;"John Wiley and Sons Ltd";"1969-2020";"Applied Mathematics (Q1); Engineering (miscellaneous) (Q1); Numerical Analysis (Q1)"
53;29586;"Journal of Guidance, Control, and Dynamics";journal;"15333884, 07315090";1,573;Q1;135;184;803;5720;2938;787;3,40;31,09;United States;Northern America;"American Institute of Aeronautics and Astronautics Inc. (AIAA)";"1979-1980, 1982-2020";"Aerospace Engineering (Q1); Applied Mathematics (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Space and Planetary Science (Q1)"
54;23490;"Journal of Scientific Computing";journal;"08857474, 15737691";1,531;Q1;70;330;742;12186;1810;729;2,38;36,93;United States;Northern America;"Springer New York";"1986-2020";"Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Engineering (miscellaneous) (Q1); Numerical Analysis (Q1); Software (Q1); Theoretical Computer Science (Q1)"
55;21100898787;"Stochastics and Partial Differential Equations: Analysis and Computations";journal;"2194041X, 21940401";1,530;Q1;11;32;63;1062;104;62;1,41;33,19;United States;Northern America;"Springer New York";"2013-2020";"Applied Mathematics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)"
56;25676;"Nonlinear Differential Equations and Applications";journal;"10219722, 14209004";1,527;Q1;36;57;190;1664;284;189;1,30;29,19;Switzerland;Western Europe;"Birkhauser Verlag Basel";"1994-2020";"Analysis (Q1); Applied Mathematics (Q1)"
57;21100256955;"Advances in Differential Equations";journal;"10799389";1,523;Q1;47;13;83;341;121;83;1,02;26,23;United States;Northern America;"Khayyam Publishing, Inc.";"1996-2019";"Analysis (Q1); Applied Mathematics (Q1)"
58;21100223304;"SIAM Journal on Financial Mathematics";journal;"1945497X";1,516;Q1;26;32;106;1031;169;106;1,55;32,22;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"2010-2019";"Applied Mathematics (Q1); Finance (Q1); Numerical Analysis (Q1)"
59;14567;"Technometrics";journal;"15372723, 00401706";1,480;Q1;77;68;145;2607;373;131;2,70;38,34;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1959-2020";"Applied Mathematics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)"
